X1,X2,X3,X4,X5,X6,classe
1,19,35,28,17,4,CA

-1,23,33,27,22,6,CA
0,21,38,29,20,7,CA
5,19,33,31,14,8,CA
0,23,32,27,19,6,CA
-2,23,33,27,19,7,CA
4,24,35,29,16,8,CA
0,19,33,31,17,3,CA
-1,20,37,25,21,3,CA
-1,17,34,28,17,3,CA
1,22,40,29,22,2,CA
-1,20,33,33,19,9,CA
3,20,39,33,22,3,CA
4,21,33,29,20,3,CA
6,19,33,25,21,8,CA
-2,18,37,33,14,7,CA
-2,17,39,32,20,9,CA
-2,23,34,33,18,3,CA
1,21,33,27,18,7,CA
5,22,40,26,21,7,CA
3,16,37,31,17,9,CA
5,18,36,28,18,6,CA
-1,19,39,25,20,7,CA
4,18,33,27,22,2,CA
3,18,35,29,16,9,CA
2,21,33,27,15,1,CA
6,24,37,30,16,4,CA
4,20,32,25,14,7,CA
3,17,36,26,16,4,CA
1,24,36,26,17,4,CA
1,17,40,31,15,5,CA
-1,23,33,27,18,3,CA
5,17,33,31,21,8,CA
3,24,38,31,19,7,CA
3,19,38,27,14,6,CA
5,23,38,28,20,8,CA
0,17,35,32,18,1,CA
89,45,16,74,104,51,CB
85,41,16,73,99,44,CB
86,46,22,68,98,52,CB
85,45,21,68,103,50,CB
87,41,18,77,100,54,CB
89,42,19,78,97,49,CB
89,42,22,71,100,47,CB
87,40,17,70,95,49,CB
86,46,21,71,105,50,CB
90,40,20,70,103,44,CB
103,19,31,76,64,36,CD
97,14,26,67,60,43,CD
94,17,34,79,59,42,CD
90,19,31,72,62,39,CD
102,21,38,70,65,46,CD
91,15,32,70,70,41,CD
97,18,27,73,64,40,CD
90,14,30,79,71,34,CD
94,18,36,68,66,44,CD
103,15,28,74,62,32,CD
102,18,38,79,71,35,CD
101,19,38,75,72,39,CD
103,12,28,79,71,45,CD
94,10,30,75,58,41,CD
93,16,40,70,68,37,CD
97,19,36,70,70,32,CD
90,21,32,70,61,33,CD
91,14,27,67,69,41,CD
99,16,27,68,69,42,CD
90,20,33,71,65,36,CD
91,23,30,65,63,35,CD
93,20,29,72,58,35,CD
99,21,34,70,66,37,CD
91,24,30,76,60,33,CD
91,24,40,72,61,33,CD
97,13,33,69,71,40,CD
91,16,35,65,69,40,CD
100,16,30,67,72,45,CD
97,20,26,77,70,41,CD
92,23,36,72,64,32,CD
89,23,26,66,68,37,CD
99,16,34,66,58,39,CD
90,11,38,65,68,32,CD
94,15,26,78,64,37,CD
93,23,33,70,63,32,CD
92,23,33,65,58,45,CD
97,23,37,78,61,39,CD
102,14,39,67,68,34,CD
90,15,29,73,68,39,CD
100,13,39,67,62,46,CD
